Year,Product line,Product type,Product,Order method type,Retailer country, Revenue , Planned revenue , Product cost ,   Quantity   , Unit cost , Unit price , Gross profit , Unit sale price 
2004,Camping Equipment,Lanterns,EverGlow Single,E-mail,Canada,152381,159563,82525,4572,18,35,69856,33
2004,Camping Equipment,Tents,Star Gazer 2,E-mail,Korea,150579,161913,109134,278,393,582,41444,542
2004,Camping Equipment,Packs,Canyon Mule Cooler,E-mail,Japan,148912,154951,73808,4613,16,34,75104,32
2004,Camping Equipment,Cooking Gear,TrailChef Utensils,E-mail,Canada,148158,155304,80510,8051,10,19,67648,18
2004,Camping Equipment,Packs,Canyon Mule Climber Backpack,E-mail,Germany,147535,158639,108360,2064,53,77,39175,71
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Canada,147265,168770,70010,25610,3,7,77255,6
2004,Camping Equipment,Packs,Canyon Mule Extreme Backpack,E-mail,Sweden,146472,157498,81697,342,239,461,64775,428
2004,Camping Equipment,Sleeping Bags,Hibernator Extreme,E-mail,Italy,145729,156698,88650,591,150,265,57079,247
2004,Camping Equipment,Lanterns,Firefly Mapreader,E-mail,Canada,143702,151334,69675,9290,8,16,74027,15
2004,Camping Equipment,Tents,Star Lite,E-mail,Spain,143196,153974,104000,416,250,370,39196,344
2004,Camping Equipment,Sleeping Bags,Hibernator,E-mail,Sweden,141739,152410,89268,1038,86,147,52471,137
2004,Camping Equipment,Sleeping Bags,Hibernator Lite,E-mail,Italy,138991,149459,99540,1659,60,90,39451,84
2004,Camping Equipment,Cooking Gear,TrailChef Kettle,E-mail,Japan,134853,155652,63965,11774,6,13,70888,12
2004,Camping Equipment,Cooking Gear,TrailChef Double Flame,E-mail,Japan,133805,153895,76050,1014,75,152,57755,134
2004,Camping Equipment,Lanterns,Firefly Mapreader,E-mail,Germany,132664,149868,69000,9200,8,16,63664,12
2004,Camping Equipment,Packs,Canyon Mule Extreme Backpack,E-mail,Japan,132339,142301,73814,309,239,461,58525,428
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Germany,131630,188540,66575,28610,3,7,65054,5
2004,Camping Equipment,Lanterns,EverGlow Single,E-mail,Germany,129820,141310,73084,4049,18,35,56736,32
2004,Camping Equipment,Tents,Star Gazer 3,E-mail,Sweden,128447,138114,86904,204,426,677,41543,630
2004,Camping Equipment,Tents,Star Gazer 2,E-mail,United States,127829,137451,92647,236,393,582,35183,542
2004,Camping Equipment,Cooking Gear,TrailChef Double Flame,E-mail,Italy,127650,152832,75525,1007,75,152,52125,130
2004,Camping Equipment,Packs,Canyon Mule Weekender Backpack,E-mail,United States,126293,135798,79164,475,167,286,47130,266
2004,Camping Equipment,Sleeping Bags,Hibernator Extreme,E-mail,Japan,125509,134956,76350,509,150,265,49159,247
2004,Camping Equipment,Tents,Star Lite,E-mail,Netherlands,125296,134727,91000,364,250,370,34296,344
2004,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,E-mail,Italy,124309,145470,78867,1143,69,127,45442,111
2004,Camping Equipment,Sleeping Bags,Hibernator Pad,E-mail,Japan,121789,138901,63405,3417,19,41,58384,37
2004,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,E-mail,Sweden,121002,130109,85365,1003,85,130,35637,121
2004,Camping Equipment,Sleeping Bags,Hibernator Extreme,E-mail,Sweden,120331,129388,73200,488,150,265,47131,247
2004,Camping Equipment,Lanterns,EverGlow Single,E-mail,Japan,120265,135796,70233,3891,18,35,50033,31
2004,Camping Equipment,Tents,Star Dome,E-mail,Italy,117434,126273,76824,194,396,651,40610,605
2004,Camping Equipment,Packs,Canyon Mule Weekender Backpack,E-mail,Sweden,108213,116357,67831,407,167,286,40383,266
2004,Camping Equipment,Packs,Canyon Mule Extreme Backpack,E-mail,Germany,107927,116051,60198,252,239,461,47729,428
2004,Camping Equipment,Tents,Star Lite,E-mail,Italy,105579,111409,75250,301,250,370,30329,357
2004,Camping Equipment,Packs,Canyon Mule Climber Backpack,E-mail,Italy,103544,112754,77018,1467,53,77,26527,71
2004,Camping Equipment,Packs,Canyon Mule Weekender Backpack,E-mail,Spain,99705,107209,62498,375,167,286,37208,266
2004,Camping Equipment,Cooking Gear,TrailChef Single Flame,E-mail,Sweden,97062,104362,72492,1563,46,67,24570,62
2004,Camping Equipment,Lanterns,Firefly 2,E-mail,Japan,94842,110438,63624,4035,16,27,31217,24
2004,Camping Equipment,Sleeping Bags,Hibernator Camp Cot,E-mail,Italy,93580,106465,66490,1019,65,104,27090,92
2004,Camping Equipment,Packs,Canyon Mule Extreme Backpack,E-mail,United States,89511,96249,49926,209,239,461,39585,428
2004,Camping Equipment,Lanterns,Firefly Mapreader,E-mail,Japan,86119,91273,42023,5603,8,16,44096,14
2004,Camping Equipment,Tents,Star Dome,E-mail,Korea,85957,92426,56232,142,396,651,29725,605
2004,Camping Equipment,Sleeping Bags,Hibernator Pillow,E-mail,Canada,85493,91815,46818,5202,9,18,38675,17
2004,Camping Equipment,Tents,Star Lite,E-mail,Sweden,85367,91792,62000,248,250,370,23367,344
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,E-mail,Canada,85220,93060,49167,7427,7,13,36054,12
2004,Camping Equipment,Packs,Canyon Mule Cooler,E-mail,Italy,84011,87502,41680,2605,16,34,42331,32
2004,Camping Equipment,Sleeping Bags,Hibernator Pillow,E-mail,Germany,80338,88550,45153,5017,9,18,35185,16
2004,Camping Equipment,Packs,Canyon Mule Journey Backpack,E-mail,United States,79672,85669,49279,231,213,371,30393,345
2004,Camping Equipment,Packs,Canyon Mule Journey Backpack,E-mail,Sweden,79327,85298,49066,230,213,371,30261,345
2004,Camping Equipment,Sleeping Bags,Hibernator Lite,E-mail,United States,78921,84865,56520,942,60,90,22401,84
2004,Camping Equipment,Sleeping Bags,Hibernator Extreme,E-mail,Netherlands,77919,83784,47400,316,150,265,30519,247
2004,Camping Equipment,Tents,Star Gazer 3,E-mail,Spain,76816,82598,51972,122,426,677,24844,630
2004,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,E-mail,Japan,76727,82502,54130,636,85,130,22597,121
2004,Camping Equipment,Tents,Star Dome,E-mail,United States,75061,80710,49104,124,396,651,25957,605
2004,Camping Equipment,Sleeping Bags,Hibernator Lite,E-mail,Sweden,73056,78558,52320,872,60,90,20736,84
2004,Camping Equipment,Cooking Gear,TrailChef Cook Set,E-mail,Spain,72521,76133,48468,1386,35,55,24052,52
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,E-mail,Germany,72363,83111,43910,6633,7,13,28452,11
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Japan,72182,91522,35413,13888,3,7,36769,6
2004,Camping Equipment,Cooking Gear,TrailChef Cook Set,E-mail,Italy,70816,73771,46965,1343,35,55,23852,53
2004,Camping Equipment,Packs,Canyon Mule Carryall,E-mail,Italy,70548,75852,42498,1032,41,74,28050,68
2004,Camping Equipment,Tents,Star Gazer 6,E-mail,Korea,70402,75701,44590,91,490,832,25812,774
2004,Camping Equipment,Tents,Star Gazer 6,E-mail,Italy,70327,74869,44100,90,490,832,26227,782
2004,Camping Equipment,Packs,Canyon Mule Journey Backpack,E-mail,Spain,68832,86040,49493,232,213,371,19340,297
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,E-mail,Italy,67805,70162,46962,2948,16,24,20843,23
2004,Camping Equipment,Cooking Gear,TrailChef Utensils,E-mail,Germany,66111,69328,35940,3594,10,19,30171,18
2004,Camping Equipment,Lanterns,Firefly 4,E-mail,Canada,65860,70744,42196,2403,18,29,23665,28
2004,Camping Equipment,Lanterns,Firefly Lite,E-mail,Canada,63932,66258,30281,4486,7,15,33652,14
2004,Camping Equipment,Lanterns,Firefly Multi-light,E-mail,Germany,63739,66403,44486,2502,18,27,19254,25
2004,Camping Equipment,Lanterns,EverGlow Kerosene,E-mail,Japan,63700,68590,43480,2174,20,32,20220,30
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,E-mail,Korea,63553,70615,47264,2967,16,24,16289,21
2004,Camping Equipment,Cooking Gear,TrailChef Utensils,E-mail,Italy,62431,64988,33690,3369,10,19,28741,19
2004,Camping Equipment,Cooking Gear,TrailChef Double Flame,E-mail,Sweden,61968,73912,36525,487,75,152,25443,130
2004,Camping Equipment,Lanterns,Firefly Multi-light,E-mail,Canada,60992,63245,42370,2383,18,27,18623,26
2004,Camping Equipment,Lanterns,Firefly Lite,E-mail,Germany,60746,63142,28856,4275,7,15,31890,14
2004,Camping Equipment,Lanterns,EverGlow Butane,E-mail,Germany,60416,64885,38924,958,41,68,21492,63
2004,Camping Equipment,Tents,Star Gazer 6,E-mail,United States,60345,64887,38220,78,490,832,22125,774
2004,Camping Equipment,Lanterns,EverGlow Butane,E-mail,Canada,59867,64276,38558,949,41,68,21309,63
2004,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,E-mail,Spain,59717,64211,42129,495,85,130,17587,121
2004,Camping Equipment,Lanterns,EverGlow Kerosene,E-mail,Germany,58446,64488,40880,2044,20,32,17566,29
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Italy,57185,73446,27959,11145,3,7,29226,6
2004,Camping Equipment,Sleeping Bags,Hibernator Lite,E-mail,Korea,57054,61351,40860,681,60,90,16194,84
2004,Camping Equipment,Packs,Canyon Mule Climber Backpack,E-mail,Sweden,54434,59413,40583,773,53,77,13851,71
2004,Camping Equipment,Sleeping Bags,Hibernator,E-mail,Netherlands,53664,57704,33798,393,86,147,19866,137
2004,Camping Equipment,Sleeping Bags,Hibernator Lite,E-mail,Netherlands,53619,57658,38400,640,60,90,15219,84
2004,Camping Equipment,Cooking Gear,TrailChef Kettle,E-mail,Korea,53437,57481,24349,4348,6,13,29088,12
2004,Camping Equipment,Packs,Canyon Mule Cooler,E-mail,Spain,53297,55356,26368,1648,16,34,26929,32
2004,Camping Equipment,Lanterns,Flicker Lantern,E-mail,Japan,53028,55232,24586,1574,16,35,28442,34
2004,Camping Equipment,Packs,Canyon Mule Climber Backpack,E-mail,Spain,52380,57030,38955,742,53,77,13425,70
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,E-mail,Japan,52163,58828,31081,4695,7,13,21082,11
2004,Camping Equipment,Packs,Canyon Mule Cooler,E-mail,Sweden,51770,53375,25424,1589,16,34,26346,33
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,E-mail,United States,51686,57429,38439,2413,16,24,13247,21
2004,Camping Equipment,Lanterns,Firefly Extreme,E-mail,Canada,50472,52470,28795,1024,28,51,21677,49
2004,Camping Equipment,Lanterns,EverGlow Kerosene,E-mail,Italy,50372,55749,35340,1767,20,32,15032,29
2004,Camping Equipment,Cooking Gear,TrailChef Cup,E-mail,Canada,49797,52115,12103,14239,1,4,37693,4
2004,Camping Equipment,Sleeping Bags,Hibernator Camp Cot,E-mail,Sweden,49443,55792,34844,534,65,104,14599,93
2004,Camping Equipment,Packs,Canyon Mule Extreme Backpack,E-mail,Netherlands,49252,52960,27471,115,239,461,21781,428
2004,Camping Equipment,Lanterns,Firefly Lite,E-mail,Japan,49030,50617,23132,3427,7,15,25897,14
2004,Camping Equipment,Sleeping Bags,Hibernator Pad,E-mail,Italy,48086,60975,26856,1500,18,41,21230,34
2004,Camping Equipment,Lanterns,EverGlow Butane,E-mail,Japan,47620,51204,30716,756,41,68,16904,63
2004,Camping Equipment,Cooking Gear,TrailChef Single Flame,E-mail,Italy,47010,50545,35110,757,46,67,11900,62
2004,Camping Equipment,Sleeping Bags,Hibernator Pillow,E-mail,Japan,46493,49950,25470,2830,9,18,21023,17
2004,Camping Equipment,Lanterns,EverGlow Lamp,E-mail,Spain,46111,48028,31034,1727,18,28,15077,27
2004,Camping Equipment,Lanterns,Firefly Multi-light,E-mail,Japan,45837,47639,31915,1795,18,27,13922,26
2004,Camping Equipment,Cooking Gear,TrailChef Kettle,E-mail,Italy,45721,59913,23666,4532,5,13,22055,11
2004,Camping Equipment,Lanterns,Firefly 2,E-mail,Korea,45473,56109,31618,2050,16,27,13856,23
2004,Camping Equipment,Cooking Gear,TrailChef Single Flame,E-mail,Korea,45395,48809,33904,731,46,67,11491,62
2004,Camping Equipment,Lanterns,EverGlow Lamp,E-mail,Korea,44589,46443,30010,1670,18,28,14579,27
2004,Camping Equipment,Cooking Gear,TrailChef Utensils,E-mail,Japan,44270,45929,23810,2381,10,19,20460,19
2004,Camping Equipment,Cooking Gear,TrailChef Kettle,E-mail,United States,44077,46878,19858,3546,6,13,24219,12
2004,Camping Equipment,Lanterns,EverGlow Kerosene,E-mail,Canada,43605,44959,28500,1425,20,32,15105,31
2004,Camping Equipment,Cooking Gear,TrailChef Cup,E-mail,Germany,43601,45834,10645,12523,1,4,32957,3
2004,Camping Equipment,Lanterns,EverGlow Single,E-mail,Italy,43451,48441,25053,1388,18,35,18398,32
2004,Camping Equipment,Cooking Gear,TrailChef Cook Set,E-mail,Sweden,42448,44219,28151,805,35,55,14297,53
2004,Camping Equipment,Lanterns,Firefly 4,E-mail,Japan,41805,46103,27072,1566,17,29,14733,27
2004,Camping Equipment,Packs,Canyon Mule Extreme Backpack,E-mail,France,41543,44670,23171,97,239,461,18372,428
2004,Camping Equipment,Lanterns,Flicker Lantern,E-mail,Italy,40731,42424,18885,1209,16,35,21847,34
2004,Camping Equipment,Lanterns,Firefly 4,E-mail,Germany,39973,46633,26500,1584,17,29,13474,26
2004,Camping Equipment,Lanterns,Flicker Lantern,E-mail,Canada,39875,41511,18478,1183,16,35,21396,34
2004,Camping Equipment,Sleeping Bags,Hibernator Camp Cot,E-mail,Korea,37896,40747,25448,390,65,104,12449,97
2004,Camping Equipment,Cooking Gear,TrailChef Single Flame,E-mail,United States,37446,40262,27967,603,46,67,9479,62
2004,Camping Equipment,Cooking Gear,TrailChef Double Flame,E-mail,Spain,36981,39764,19650,262,75,152,17331,141
2004,Camping Equipment,Packs,Canyon Mule Climber Backpack,E-mail,Netherlands,36884,39660,27090,516,53,77,9794,71
2004,Camping Equipment,Packs,Canyon Mule Extreme Backpack,E-mail,Spain,36832,39605,20544,86,239,461,16288,428
2004,Camping Equipment,Lanterns,Firefly 4,E-mail,Italy,35472,36564,22356,1242,18,29,13116,29
2004,Camping Equipment,Cooking Gear,TrailChef Cup,E-mail,Japan,35056,36476,8471,9966,1,4,26585,4
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,E-mail,Sweden,34552,38079,20118,3039,7,13,14434,12
2004,Camping Equipment,Sleeping Bags,Hibernator Lite,E-mail,Spain,34015,36577,24360,406,60,90,9655,84
2004,Camping Equipment,Lanterns,Firefly Extreme,E-mail,Japan,33548,34946,19178,682,28,51,14370,49
2004,Camping Equipment,Sleeping Bags,Hibernator Extreme,E-mail,Spain,33288,35794,20250,135,150,265,13038,247
2004,Camping Equipment,Tents,Star Gazer 6,E-mail,Spain,33001,34939,20580,42,490,832,12421,786
2004,Camping Equipment,Tents,Star Peg,E-mail,Canada,32570,34489,16742,16742,1,2,15828,2
2004,Camping Equipment,Sleeping Bags,Hibernator Pad,E-mail,Korea,32286,33983,16026,836,19,41,16260,39
2004,Camping Equipment,Cooking Gear,TrailChef Utensils,E-mail,Sweden,31601,32716,16960,1696,10,19,14641,19
2004,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,E-mail,Sweden,31484,33854,18354,266,69,127,13130,118
2004,Camping Equipment,Packs,Canyon Mule Climber Backpack,E-mail,Korea,31022,33357,22785,434,53,77,8237,71
2004,Camping Equipment,Lanterns,Firefly Mapreader,E-mail,Italy,30944,33232,15300,2040,8,16,15644,13
2004,Camping Equipment,Lanterns,Firefly Extreme,E-mail,Germany,30931,32127,17631,627,28,51,13300,49
2004,Camping Equipment,Lanterns,EverGlow Lamp,E-mail,Italy,30465,31731,20504,1141,18,28,9961,27
2004,Camping Equipment,Sleeping Bags,Hibernator Camp Cot,E-mail,United States,30317,32598,20358,312,65,104,9959,97
2004,Camping Equipment,Lanterns,Flicker Lantern,E-mail,Germany,29748,30984,13792,883,16,35,15956,34
2004,Camping Equipment,Lanterns,Firefly 2,E-mail,Italy,29015,35718,20086,1305,16,27,8929,23
2004,Camping Equipment,Packs,Canyon Mule Cooler,E-mail,Korea,28993,30197,14384,899,16,34,14609,32
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Spain,27750,39902,13999,6055,3,7,13751,5
2004,Camping Equipment,Lanterns,Firefly 2,E-mail,United States,27068,28191,17170,1030,17,27,9898,26
2004,Camping Equipment,Sleeping Bags,Hibernator Pad,E-mail,United States,26378,27479,12959,676,19,41,13419,39
2004,Camping Equipment,Lanterns,EverGlow Lamp,E-mail,Sweden,25921,29201,16833,1050,17,28,9089,25
2004,Camping Equipment,Lanterns,EverGlow Butane,E-mail,Italy,25637,27566,16536,407,41,68,9101,63
2004,Camping Equipment,Packs,Canyon Mule Carryall,E-mail,Netherlands,25362,27269,15278,371,41,74,10084,68
2004,Camping Equipment,Lanterns,EverGlow Double,E-mail,Canada,25053,25449,14030,488,29,52,11023,51
2004,Camping Equipment,Cooking Gear,TrailChef Utensils,E-mail,Spain,25007,25906,13430,1343,10,19,11577,19
2004,Camping Equipment,Lanterns,EverGlow Double,E-mail,Germany,23872,24458,13484,469,29,52,10388,51
2004,Camping Equipment,Tents,Star Peg,E-mail,Japan,23512,24627,11955,11955,1,2,11557,2
2004,Camping Equipment,Tents,Star Peg,E-mail,Germany,23278,24666,11974,11974,1,2,11304,2
2004,Camping Equipment,Tents,Star Gazer 6,E-mail,Netherlands,23210,24956,14700,30,490,832,8510,774
2004,Camping Equipment,Sleeping Bags,Hibernator Pad,E-mail,Sweden,22319,23252,10965,572,19,41,11354,39
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,E-mail,Italy,22306,26965,14246,2152,7,13,8060,11
2004,Camping Equipment,Packs,Canyon Mule Cooler,E-mail,United States,22059,22976,10944,684,16,34,11115,32
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,E-mail,Sweden,21511,22301,14926,937,16,24,6584,23
2004,Camping Equipment,Lanterns,EverGlow Lamp,E-mail,United States,21413,22304,14412,802,18,28,7001,27
2004,Camping Equipment,Cooking Gear,TrailChef Single Flame,E-mail,Spain,21238,22835,15862,342,46,67,5376,62
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,E-mail,Spain,21220,21872,14640,919,16,24,6580,23
2004,Camping Equipment,Packs,Canyon Mule Carryall,E-mail,Korea,21192,22785,12766,310,41,74,8426,68
